time,epoch,acc_train,acc_val,lr,loss_train
11-12_23:27,0,53.59955005624297,56.474061577393506,0.001,0.8827584726469859
11-12_23:28,1,61.67041619797525,65.58414171235765,0.0009997532801828658,0.6532503249389785
11-12_23:30,2,64.76377952755905,70.30788696752425,0.0009990133642141358,0.6285928104604993
11-12_23:31,3,67.1470753655793,74.2724588781105,0.00099778098230154,0.6042986299310411
11-12_23:33,4,69.26321709786276,76.61324335723323,0.000996057350657239,0.5713328282747949
11-12_23:34,5,71.47778402699663,78.34247153099957,0.0009938441702975688,0.5459455469889302
11-12_23:35,6,73.18616422947132,78.86967524251371,0.0009911436253643444,0.5306115581520966
11-12_23:36,7,73.83295838020247,78.65879375790806,0.0009879583809693738,0.5163997438337122
11-12_23:38,8,75.09139482564679,81.71657528469001,0.0009842915805643156,0.503136673676116
11-12_23:39,9,75.55539932508437,82.85533530156053,0.0009801468428384716,0.486694133175271
11-12_23:40,10,76.5396512935883,81.63222269084774,0.0009755282581475768,0.47427488171628546
11-12_23:41,11,77.29190101237346,82.47574862927036,0.0009704403844771128,0.4667381170604909
11-12_23:42,12,77.79105736782903,84.18388865457612,0.0009648882429441257,0.45571423109088627
11-12_23:44,13,78.1566366704162,82.15942640236187,0.0009588773128419905,0.447142019867897
11-12_23:45,14,78.76124859392576,82.85533530156053,0.0009524135262330098,0.43784375861287117
11-12_23:46,15,79.17604049493814,85.28047237452552,0.0009455032620941839,0.43166614377072904
11-12_23:47,16,79.14791901012373,83.36145086461408,0.0009381533400219318,0.43003664272172115
11-12_23:49,17,79.60489313835771,85.00632644453817,0.0009303710135019718,0.4204490046416011
11-12_23:50,18,80.38526434195725,85.06959088991987,0.0009221639627510075,0.4072468429803848
11-12_23:51,19,80.62429696287964,85.84985238296078,0.0009135402871372809,0.40656200636710443
11-12_23:52,20,80.21653543307086,85.02741459299874,0.0009045084971874737,0.41235876562339924
11-12_23:53,21,80.56102362204724,84.96415014761703,0.0008950775061878451,0.4026029455874646
11-12_23:55,22,80.99690663667042,86.25052720371151,0.0008852566213878947,0.3929531590214796
11-12_23:56,23,81.59448818897638,85.44917756221004,0.0008750555348152298,0.3956446796655655
11-12_23:57,24,81.86164229471316,84.58456347532686,0.0008644843137107057,0.3814681832279478
11-12_23:58,25,82.04443194600675,86.4403205398566,0.0008535533905932737,0.38348213157483513
11-13_00:00,26,82.10067491563555,85.63897089835513,0.0008422735529643444,0.3780568135636193
11-13_00:01,27,82.33970753655792,86.75664276676508,0.0008306559326618259,0.3752595808889185
11-13_00:02,28,82.35376827896513,87.00970054829186,0.0008187119948743449,0.37515212542244364
11-13_00:03,29,83.12007874015748,86.33487979755377,0.0008064535268264883,0.3615758301956314
11-13_00:04,30,82.49437570303712,87.2838464782792,0.0007938926261462367,0.3691582312541348
11-13_00:06,31,82.7755905511811,86.22943905525095,0.0007810416889260654,0.36032619167651453
11-13_00:07,32,83.12007874015748,86.65120202446225,0.0007679133974894983,0.359417522592204
11-13_00:08,33,83.21147356580427,87.11514129059469,0.0007545207078751857,0.3587295663143907
11-13_00:09,34,83.65438695163104,86.46140868831716,0.0007408768370508576,0.34844563156366337
11-13_00:10,35,83.65438695163104,86.73555461830452,0.0007269952498697733,0.34924690851143425
11-13_00:12,36,84.05511811023622,87.68452129902994,0.0007128896457825364,0.34856827290994785
11-13_00:13,37,83.84420697412824,88.12737241670182,0.0006985739453173903,0.34481495778475496
11-13_00:14,38,84.17463442069742,86.75664276676508,0.0006840622763423391,0.3340934131826674
11-13_00:15,39,84.79330708661418,87.62125685364825,0.0006693689601226458,0.33493698175464354
11-13_00:16,40,84.61754780652419,88.04301982285955,0.0006545084971874737,0.33129488144602076
11-13_00:18,41,84.28712035995501,88.27498945592576,0.0006394955530196147,0.3357012814709119
11-13_00:19,42,84.4699100112486,87.43146351750316,0.0006243449435824273,0.3309783903615816
11-13_00:20,43,84.72300337457818,87.85322648671446,0.0006090716206982714,0.3287683419351066
11-13_00:21,44,85.33464566929133,88.19063686208351,0.0005936906572928624,0.3243665258799281
11-13_00:23,45,84.72300337457818,88.44369464361029,0.0005782172325201155,0.32412572737251005
11-13_00:24,46,85.03937007874016,88.08519611978069,0.0005626666167821522,0.32577635241406305
11-13_00:25,47,85.52446569178852,88.10628426824125,0.0005470541566592571,0.3153405748307703
11-13_00:26,48,85.68616422947132,87.8321383382539,0.0005313952597646568,0.31307343819311684
11-13_00:27,49,85.50337457817773,88.16954871362294,0.0005157053795390641,0.31420904264918403
11-13_00:29,50,85.9181664791901,88.46478279207085,0.0005,0.30648117033498634
11-13_00:30,51,85.62289088863892,88.14846056516238,0.00048429462046093585,0.30677678728742247
11-13_00:31,52,86.0376827896513,88.42260649514972,0.0004686047402353433,0.30324858240783215
11-13_00:32,53,85.81271091113611,87.45255166596372,0.00045294584334074284,0.30448947341314386
11-13_00:33,54,86.22047244094489,87.87431463517503,0.00043733338321784795,0.3011711253119366
11-13_00:35,55,86.45247469066366,88.8021931674399,0.0004217827674798846,0.29667247113372613
11-13_00:36,56,85.9392575928009,88.48587094053143,0.0004063093427071377,0.2993796773787055
11-13_00:37,57,86.48762654668167,88.52804723745255,0.0003909283793017289,0.29560812935233105
11-13_00:38,58,86.38920134983127,88.57022353437368,0.00037565505641757257,0.29544103810829775
11-13_00:40,59,86.69150731158605,88.7389287220582,0.0003605044469803854,0.2922205323619502
11-13_00:41,60,87.14848143982002,88.48587094053143,0.00034549150281252644,0.28671192431024145
11-13_00:42,61,86.81102362204724,88.88654576128216,0.0003306310398773543,0.28742069591368963
11-13_00:43,62,86.81102362204724,89.07633909742725,0.00031593772365766116,0.2804151544613499
11-13_00:45,63,87.23987626546682,89.05525094896669,0.00030142605468260966,0.28378037363290787
11-13_00:46,64,87.3804836895388,89.41374947279628,0.00028711035421746366,0.2797774116375616
11-13_00:47,65,87.07114735658043,88.90763390974273,0.00027300475013022663,0.2827562732355935
11-13_00:48,66,87.429696287964,89.03416280050611,0.0002591231629491423,0.2777078505605458
11-13_00:49,67,87.464848143982,89.26613243357234,0.00024547929212481435,0.27947560644575525
11-13_00:51,68,87.28205849268842,89.35048502741459,0.00023208660251050156,0.277680289532457
11-13_00:52,69,87.429696287964,88.88654576128216,0.00021895831107393465,0.2746102102100849
11-13_00:53,70,87.79527559055119,89.43483762125685,0.00020610737385376348,0.27355391585401123
11-13_00:54,71,87.83745781777277,89.2872205820329,0.00019354647317351172,0.2714868802577255
11-13_00:55,72,88.06946006749156,89.41374947279628,0.00018128800512565513,0.26498047688177656
11-13_00:56,73,88.12570303712036,89.26613243357234,0.00016934406733817414,0.26534521845834613
