time,epoch,num_iter,loss
11-12_23:26,0,19,1.2301013737916946
11-12_23:26,0,39,0.9598518371582033
11-12_23:27,1,75,0.6715346336364746
11-12_23:28,1,95,0.6609844341874123
11-12_23:29,2,131,0.6270628243684769
11-12_23:29,2,151,0.6280886858701705
11-12_23:30,3,187,0.5981992870569229
11-12_23:31,3,207,0.6064457595348358
11-12_23:32,4,243,0.5754901528358458
11-12_23:32,4,263,0.5751758888363837
11-12_23:33,5,299,0.5617848217487335
11-12_23:33,5,319,0.5513318702578545
11-12_23:34,6,355,0.5414114311337472
11-12_23:35,6,375,0.5296258240938188
11-12_23:36,7,411,0.5189986318349837
11-12_23:36,7,431,0.5171191081404687
11-12_23:37,8,467,0.49921630471944806
11-12_23:37,8,487,0.5023285642266272
11-12_23:38,9,523,0.4733281269669532
11-12_23:38,9,543,0.4844475962221623
11-12_23:39,10,579,0.47801719456911085
11-12_23:40,10,599,0.47798991575837135
11-12_23:40,11,635,0.4635802268981934
11-12_23:41,11,655,0.4679980851709843
11-12_23:42,12,691,0.452710922062397
11-12_23:42,12,711,0.45040967315435415
11-12_23:43,13,747,0.44506018757820126
11-12_23:43,13,767,0.44626019448041904
11-12_23:44,14,803,0.44379004389047627
11-12_23:44,14,823,0.4347023196518421
11-12_23:45,15,859,0.4388902425765991
11-12_23:46,15,879,0.43033692315220845
11-12_23:47,16,915,0.42080842852592465
11-12_23:47,16,935,0.42894399538636213
11-12_23:48,17,971,0.4255397081375122
11-12_23:48,17,991,0.4218735851347447
11-12_23:49,18,1027,0.41191737204790113
11-12_23:49,18,1047,0.4109439671039582
11-12_23:50,19,1083,0.41899189203977577
11-12_23:51,19,1103,0.4092114269733429
11-12_23:51,20,1139,0.4064500153064728
11-12_23:52,20,1159,0.413760805875063
11-12_23:53,21,1195,0.39903816282749177
11-12_23:53,21,1215,0.4039640091359615
11-12_23:54,22,1251,0.3837984561920165
11-12_23:54,22,1271,0.3940182641148567
11-12_23:55,23,1307,0.3960299089550972
11-12_23:55,23,1327,0.3965568833053112
11-12_23:56,24,1363,0.37808121293783187
11-12_23:57,24,1383,0.37631239742040634
11-12_23:57,25,1419,0.3892025545239448
11-12_23:58,25,1439,0.38422913402318953
11-12_23:59,26,1475,0.3859138041734695
11-12_23:59,26,1495,0.3819973558187484
11-13_00:00,27,1531,0.3705054685473442
11-13_00:00,27,1551,0.37793064340949056
11-13_00:01,28,1587,0.3710837662220001
11-13_00:02,28,1607,0.3804761566221714
11-13_00:02,29,1643,0.3662940368056298
11-13_00:03,29,1663,0.36496628597378733
11-13_00:04,30,1699,0.3711298748850822
11-13_00:04,30,1719,0.3704460114240646
11-13_00:05,31,1755,0.35627900660038
11-13_00:05,31,1775,0.35452972427010543
11-13_00:06,32,1811,0.3596136704087257
11-13_00:06,32,1831,0.35693412125110624
11-13_00:07,33,1867,0.36302289366722107
11-13_00:08,33,1887,0.35522378981113434
11-13_00:08,34,1923,0.35249692350625994
11-13_00:09,34,1943,0.3485476441681384
11-13_00:10,35,1979,0.3285106375813484
11-13_00:10,35,1999,0.3459404960274695
11-13_00:11,36,2035,0.3534672141075134
11-13_00:11,36,2055,0.3524330817162991
11-13_00:12,37,2091,0.34455661624670025
11-13_00:12,37,2111,0.3491948254406453
11-13_00:13,38,2147,0.33652121126651774
11-13_00:14,38,2167,0.3357859082520009
11-13_00:14,39,2203,0.31749941855669034
11-13_00:15,39,2223,0.32589121982455255
11-13_00:16,40,2259,0.33268277049064626
11-13_00:16,40,2279,0.33854693621397003
11-13_00:17,41,2315,0.3321844145655632
11-13_00:17,41,2335,0.3380727611482144
11-13_00:18,42,2371,0.31823445707559583
11-13_00:18,42,2391,0.3258614845573903
11-13_00:19,43,2427,0.35360197126865384
11-13_00:20,43,2447,0.3277624744921922
11-13_00:20,44,2483,0.317588946223259
11-13_00:21,44,2503,0.3258986122906208
11-13_00:22,45,2539,0.31633323878049846
11-13_00:22,45,2559,0.3253175549209117
11-13_00:23,46,2595,0.32792812585830694
11-13_00:23,46,2615,0.32308047488331804
11-13_00:24,47,2651,0.31717272102832794
11-13_00:25,47,2671,0.31641198247671126
11-13_00:25,48,2707,0.3342478886246681
11-13_00:26,48,2727,0.3210773833096027
11-13_00:27,49,2763,0.31675614267587665
11-13_00:27,49,2783,0.31073858030140405
11-13_00:28,50,2819,0.30649319142103193
11-13_00:28,50,2839,0.305137549340725
11-13_00:29,51,2875,0.3152612075209617
11-13_00:29,51,2895,0.3122952677309512
11-13_00:30,52,2931,0.29608593210577966
11-13_00:31,52,2951,0.2971896577626466
11-13_00:31,53,2987,0.3016064845025539
11-13_00:32,53,3007,0.29520012997090816
11-13_00:33,54,3043,0.31261251568794246
11-13_00:33,54,3063,0.3000703878700733
11-13_00:34,55,3099,0.2928598009049893
11-13_00:34,55,3119,0.2928568188101053
11-13_00:35,56,3155,0.303880624473095
11-13_00:35,56,3175,0.29918025620281696
11-13_00:36,57,3211,0.29052002280950545
11-13_00:37,57,3231,0.2983836077153682
11-13_00:37,58,3267,0.30476746559143064
11-13_00:38,58,3287,0.2955049946904182
11-13_00:39,59,3323,0.294137030094862
11-13_00:39,59,3343,0.29498411566019056
11-13_00:40,60,3379,0.28650694712996483
11-13_00:40,60,3399,0.28679288998246205
11-13_00:41,61,3435,0.2816243186593056
11-13_00:41,61,3455,0.283624915033579
11-13_00:42,62,3491,0.2824634909629822
11-13_00:43,62,3511,0.2891704190522433
11-13_00:44,63,3547,0.2852249078452587
11-13_00:44,63,3567,0.2844656497240067
11-13_00:45,64,3603,0.27899596095085144
11-13_00:45,64,3623,0.2779076691716909
11-13_00:46,65,3659,0.29350107684731475
11-13_00:46,65,3679,0.28113854601979255
11-13_00:47,66,3715,0.2799125798046589
11-13_00:48,66,3735,0.2766552131623029
11-13_00:49,67,3771,0.27710682675242426
11-13_00:49,67,3791,0.282137443125248
11-13_00:50,68,3827,0.2816810227930545
11-13_00:50,68,3847,0.2801569636911153
11-13_00:51,69,3883,0.26670686975121494
11-13_00:51,69,3903,0.2731397867202759
11-13_00:52,70,3939,0.2768423587083817
11-13_00:52,70,3959,0.2755062337964773
11-13_00:53,71,3995,0.2571249097585678
11-13_00:54,71,4015,0.26987172216176974
11-13_00:55,72,4051,0.26266861632466315
11-13_00:55,72,4071,0.2669984266161919
11-13_00:56,73,4107,0.2660032764077186
11-13_00:56,73,4127,0.2616142839193345
11-13_00:57,74,4163,0.2594225957989693
11-13_00:57,74,4183,0.2612719394266605
11-13_00:58,75,4219,0.252395049482584
11-13_00:58,75,4239,0.2661416914314032
11-13_00:59,76,4275,0.2586756981909275
11-13_01:00,76,4295,0.2603240273892879
11-13_01:01,77,4331,0.2619415678083897
11-13_01:01,77,4351,0.26263740472495556
11-13_01:02,78,4387,0.26771779432892806
11-13_01:02,78,4407,0.2635494872927666
11-13_01:03,79,4443,0.25808136612176896
11-13_01:03,79,4463,0.2553491700440646
11-13_01:04,80,4499,0.25192959755659106
