time,epoch,num_iter,loss
11-13_12:22,0,19,20.004834538698198
11-13_12:22,0,39,12.547910070419311
11-13_12:22,0,59,9.460851409037906
11-13_12:22,0,79,7.644156841933724
11-13_12:23,0,99,6.428289501667019
11-13_12:23,0,119,5.614017888903616
11-13_12:23,0,139,4.982418917332375
11-13_12:23,0,159,4.476061618700622
11-13_12:23,0,179,4.086995209256805
11-13_12:24,0,199,3.7497848036885224
11-13_12:24,0,219,3.473226133801717
11-13_12:24,0,239,3.242259782552716
11-13_12:24,0,259,3.0458816140890095
11-13_12:24,0,279,2.8782310204846495
11-13_12:25,0,299,2.73051956673463
11-13_12:25,0,319,2.604248783551156
11-13_12:25,0,339,2.4913378692725123
11-13_12:25,0,359,2.389351251224676
11-13_12:25,0,379,2.300261436794932
11-13_12:26,0,399,2.220616885870694
11-13_12:26,0,419,2.150205018406822
11-13_12:26,0,439,2.0850215569138526
11-13_12:27,1,464,0.6702122658491135
11-13_12:27,1,484,0.6664397716522218
11-13_12:27,1,504,0.6554213374853135
11-13_12:27,1,524,0.6596008688211442
11-13_12:28,1,544,0.6613337975740433
11-13_12:28,1,564,0.6607590729991596
11-13_12:28,1,584,0.6597088485956193
11-13_12:28,1,604,0.6577609838917851
11-13_12:28,1,624,0.6566117073098817
11-13_12:29,1,644,0.6574716271460056
11-13_12:29,1,664,0.6560996146364644
11-13_12:29,1,684,0.6553532278786102
11-13_12:29,1,704,0.6578221615690452
11-13_12:29,1,724,0.6575316779315473
11-13_12:30,1,744,0.6566218569874763
11-13_12:30,1,764,0.6582439146004618
11-13_12:30,1,784,0.7021976301775258
11-13_12:30,1,804,0.717083234671089
11-13_12:30,1,824,0.7180424308306287
11-13_12:31,1,844,0.719677110537886
11-13_12:31,1,864,0.7195461388854749
11-13_12:31,1,884,0.7174448099326002
11-13_12:32,2,909,0.7064958006143569
11-13_12:32,2,929,0.7064924955368042
11-13_12:32,2,949,0.6938756465911865
11-13_12:32,2,969,0.6854459196329118
11-13_12:33,2,989,0.6839670658111574
11-13_12:33,2,1009,0.6766208777825041
11-13_12:33,2,1029,0.677406436630658
11-13_12:33,2,1049,0.6720674149692061
11-13_12:33,2,1069,0.6708532856570352
11-13_12:34,2,1089,0.6699726241827012
11-13_12:34,2,1109,0.6726189919493417
11-13_12:34,2,1129,0.671600293616454
11-13_12:34,2,1149,0.6704010438460573
11-13_12:34,2,1169,0.6695073642901012
11-13_12:34,2,1189,0.6676531372467676
11-13_12:35,2,1209,0.6686442824080586
11-13_12:35,2,1229,0.6662937783143099
11-13_12:35,2,1249,0.6661612305376264
11-13_12:35,2,1269,0.6672676480130143
11-13_12:35,2,1289,0.6694973306357858
11-13_12:36,2,1309,0.6700641466038567
11-13_12:36,2,1329,0.6697361990809441
11-13_12:37,3,1354,0.6626875758171081
11-13_12:37,3,1374,0.6505636662244795
11-13_12:37,3,1394,0.6471425414085388
11-13_12:37,3,1414,0.6451916836202146
11-13_12:38,3,1434,0.645312773883343
11-13_12:38,3,1454,0.6434773815174899
11-13_12:38,3,1474,0.6397408155458317
11-13_12:38,3,1494,0.6422947483137249
11-13_12:38,3,1514,0.6384334425131478
11-13_12:39,3,1534,0.6412210693955421
11-13_12:39,3,1554,0.6421266883611679
11-13_12:39,3,1574,0.6405684534460306
11-13_12:39,3,1594,0.644375782402662
11-13_12:39,3,1614,0.6458925935838904
11-13_12:40,3,1634,0.6470191110173863
11-13_12:40,3,1654,0.646282482985407
11-13_12:40,3,1674,0.6472476641044898
11-13_12:40,3,1694,0.6489428574012387
11-13_12:40,3,1714,0.6492878848784849
11-13_12:41,3,1734,0.6490266934782264
11-13_12:41,3,1754,0.6484818218009811
11-13_12:41,3,1774,0.647824498943307
11-13_12:42,4,1799,0.6492349684238433
11-13_12:42,4,1819,0.6175570644438266
11-13_12:42,4,1839,0.604090251525243
11-13_12:43,4,1859,0.6075468204915522
11-13_12:43,4,1879,0.6118119293451305
11-13_12:43,4,1899,0.6228672787547108
11-13_12:43,4,1919,0.624830354111535
11-13_12:43,4,1939,0.6196755198761819
11-13_12:43,4,1959,0.6275003769331504
11-13_12:44,4,1979,0.6354527805745599
11-13_12:44,4,1999,0.636741230027242
11-13_12:44,4,2019,0.6404765607168277
11-13_12:44,4,2039,0.6376205853544749
11-13_12:44,4,2059,0.6601160948829989
11-13_12:45,4,2079,0.6605225577950476
11-13_12:45,4,2099,0.6591042877174913
11-13_12:45,4,2119,0.6575857176500204
11-13_12:45,4,2139,0.6565220758318898
11-13_12:45,4,2159,0.6550871022437744
11-13_12:46,4,2179,0.6544324754178522
11-13_12:46,4,2199,0.6533780603181745
11-13_12:46,4,2219,0.651617626710371
11-13_12:47,5,2244,0.5987560302019121
11-13_12:47,5,2264,0.6054991059005261
11-13_12:47,5,2284,0.6016356820861499
11-13_12:48,5,2304,0.6046340804547073
11-13_12:48,5,2324,0.6091773280501367
11-13_12:48,5,2344,0.6121167602638401
11-13_12:48,5,2364,0.6141654629792483
11-13_12:48,5,2384,0.6173239599913355
11-13_12:49,5,2404,0.6179629978206419
11-13_12:49,5,2424,0.6160056938230989
11-13_12:49,5,2444,0.6188776254653929
11-13_12:49,5,2464,0.6184759718676407
11-13_12:49,5,2484,0.6189987174593482
11-13_12:50,5,2504,0.618495666235685
11-13_12:50,5,2524,0.6182510368029275
11-13_12:50,5,2544,0.6171737743541599
11-13_12:50,5,2564,0.61808736271718
11-13_12:50,5,2584,0.6176453183094663
11-13_12:51,5,2604,0.6175426203169324
11-13_12:51,5,2624,0.6174228378385308
11-13_12:51,5,2644,0.6175444838546573
11-13_12:51,5,2664,0.6168277124789628
11-13_12:52,6,2689,0.6019509792327882
11-13_12:52,6,2709,0.6055759310722351
11-13_12:53,6,2729,0.6048660049835841
11-13_12:53,6,2749,0.611968018859625
11-13_12:53,6,2769,1.1001403701305394
11-13_12:53,6,2789,1.0267063262561966
11-13_12:53,6,2809,0.9699552991560533
11-13_12:53,6,2829,0.9244269592687492
11-13_12:54,6,2849,0.8891024067997935
11-13_12:54,6,2869,0.864040618091822
11-13_12:54,6,2889,0.8391692016612404
11-13_12:54,6,2909,0.8196432210505011
11-13_12:54,6,2929,0.8058785378932957
11-13_12:55,6,2949,0.7928757354617123
11-13_12:55,6,2969,0.7797842034697536
11-13_12:55,6,2989,0.7676325316540901
11-13_12:55,6,3009,0.7565919375594929
11-13_12:55,6,3029,0.7488022565841681
11-13_12:56,6,3049,0.7404419362545019
11-13_12:56,6,3069,0.7333562330901628
11-13_12:56,6,3089,0.7265027003628871
11-13_12:56,6,3109,0.7208291241391145
11-13_12:57,7,3134,0.613021656870842
11-13_12:57,7,3154,0.6001042351126669
11-13_12:57,7,3174,0.601345636943976
11-13_12:58,7,3194,0.6008210014551877
11-13_12:58,7,3214,0.5989457032084464
11-13_12:58,7,3234,0.6052956330279508
11-13_12:58,7,3254,0.6085910152111732
11-13_12:58,7,3274,0.6055755518376825
11-13_12:59,7,3294,0.6047946179906526
11-13_12:59,7,3314,0.6027692118287088
11-13_12:59,7,3334,0.6003923134370286
11-13_12:59,7,3354,0.59789211054643
11-13_12:59,7,3374,0.5975391025726614
